Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering
0xcaff49b031e5099a54f5959dc931c27e36627369,0xcaff49b031e5099a54f5959dc931c27e36627369,,2,2,4,2,2,4,1,1,1,947.372915,0.000016,0,0.000033,0,2162,4,89,0.25
0xf928bf76a660ba67fa3fea86c17e9d0842ba5c2a,0xf928bf76a660ba67fa3fea86c17e9d0842ba5c2a,,3,0,3,22,0,22,0,0,0,0,0.000926,0,0.000028,0,2514,27,29,0
0xeb93d42a2515a5cee82c6ccd7e92f964fbec83e6,0xeb93d42a2515a5cee82c6ccd7e92f964fbec83e6,,4,0,4,17,0,17,0,0,0,0,0.001234,0,0.000028,0,3092,27,29,0
0xa12040ad26ca66e7d53cacfd91f11732c7899479,0xa12040ad26ca66e7d53cacfd91f11732c7899479,,5,0,5,11,0,11,0,0,0,0,0.001543,0,0.000028,0,2513,27,29,0
0x255b66d036c1ff8e85dd42be9c1d771da5be74e3,0x255b66d036c1ff8e85dd42be9c1d771da5be74e3,,6,0,6,39,0,39,0,0,0,0,0.004623,0,0.000028,0,2085,27,29,0.166667
0xeaaaf29deef731244dd3d5f4512639832f87f09e,0xeaaaf29deef731244dd3d5f4512639832f87f09e,,8,0,8,115,0,115,0,0,0,0,0.007072,0,0.000028,0,2512,7,29,0.303571
0xa15fb01d6bb581f05daaed379deaa3dba32ead62,0xa15fb01d6bb581f05daaed379deaa3dba32ead62,,5,0,5,35,0,35,0,0,0,0,0.001543,0,0.000028,0,2511,27,29,0
0x7151baa3711ddf617c9ded2eb74b53c7fdf513ea,0x7151baa3711ddf617c9ded2eb74b53c7fdf513ea,,3,0,3,17,0,17,0,0,0,0,0.00647,0,0.000028,0,2084,27,29,0.333333
0x25b1630bdadc7e275edb0c363a64de926fdf1daf,0x25b1630bdadc7e275edb0c363a64de926fdf1daf,,5,0,5,28,0,28,0,0,0,0,0.001543,0,0.000028,0,2310,27,29,0
0xa7702add14261d47e09dce6033af7c8e39acbe20,0xa7702add14261d47e09dce6033af7c8e39acbe20,,6,0,6,132,0,132,0,0,0,0,0.015711,0,0.000028,0,2959,27,29,0.166667
0x0956c19913d8e6514e55d7151b2d7d10ea45e1a7,0x0956c19913d8e6514e55d7151b2d7d10ea45e1a7,,5,0,5,58,0,58,0,0,0,0,0.001267,0,0.000028,0,2724,27,29,0
0x25bc417fbfee4ad2ae70f49c879766a821a8f0bb,0x25bc417fbfee4ad2ae70f49c879766a821a8f0bb,,5,0,5,12,0,12,0,0,0,0,0.001543,0,0.000028,0,2958,27,29,0
