,Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,timeset2018,indegree2018,outdegree2018,Degree2018,weighted indegree2018,weighted outdegree2018,Weighted Degree2018,Eccentricity2018,closnesscentrality2018,harmonicclosnesscentrality2018,betweenesscentrality2018,Authority2018,Hub2018,pageranks2018,componentnumber2018,strongcompnum2018,modularity_class2018,stat_inf_class2018,clustering2018,eigencentrality2018,timeset2019,indegree2019,outdegree2019,Degree2019,weighted indegree2019,weighted outdegree2019,Weighted Degree2019,Eccentricity2019,closnesscentrality2019,harmonicclosnesscentrality2019,betweenesscentrality2019,Authority2019,Hub2019,pageranks2019,componentnumber2019,strongcompnum2019,modularity_class2019,stat_inf_class2019,clustering2019,eigencentrality2019,timeset2020,indegree2020,outdegree2020,Degree2020,Eccentricity2020,closnesscentrality2020,harmonicclosnesscentrality2020,betweenesscentrality2020,weighted indegree2020,weighted outdegree2020,Weighted Degree2020,Authority2020,Hub2020,pageranks2020,componentnumber2020,strongcompnum2020,modularity_class2020,stat_inf_class2020,clustering2020,eigencentrality2020,timeset2021,Eccentricity2021,closnesscentrality2021,harmonicclosnesscentrality2021,betweenesscentrality2021,weighted indegree2021,weighted outdegree2021,Weighted Degree2021,indegree2021,outdegree2021,Degree2021,Authority2021,Hub2021,pageranks2021,componentnumber2021,strongcompnum2021,modularity_class2021,stat_inf_class2021,clustering2021,eigencentrality2021,timeset2022,Eccentricity2022,closnesscentrality2022,harmonicclosnesscentrality2022,betweenesscentrality2022,weighted indegree2022,weighted outdegree2022,Weighted Degree2022,indegree2022,outdegree2022,Degree2022,Authority2022,Hub2022,pageranks2022,componentnumber2022,strongcompnum2022,modularity_class2022,stat_inf_class2022,clustering2022,eigencentrality2022
25,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,DEX  ,,1808,0,1808,43588,0,43588,0,0.0,0.0,0.0,0.000192,0.0,0.006675,0,11,4,84,0.000226,,1276,0,1276,34610,0,34610,0,0.0,0.0,0.0,0.002619,0.0,0.019361,0,5,29,188,0.00027,1.0,,299,0,299,5920,0,5920,0,0.0,0.0,0.0,2.1e-05,0.0,0.008241,0,14,118,59,3.4e-05,0.399501,,167,0,167,0,0.0,0.0,0.0,2612,0,2612,1.3e-05,0.0,0.005087,0,85,124,106,7.2e-05,0.23137,,0,0.0,0.0,0.0,399,0,399,50,0,50,6e-06,0.0,0.001367,0,19,257,288,0.0,0.025257,,0,0.0,0.0,0.0,47,0,47,16,0,16,1e-06,0.0,0.000547,0,6664,188,189,0.0,0.016042
26,0xf230b790e05390fc8295f4d3f60332c93bed42e2,Tron,,282,0,282,96244,0,96244,0,0.0,0.0,0.0,0.000106,0.0,0.001472,0,45,7,22,0.006688,,197,0,197,96113,0,96113,0,0.0,0.0,0.0,0.000909,0.0,0.002487,0,10,31,483,0.003859,0.178253,,69,0,69,110,0,110,0,0.0,0.0,0.0,0.000114,0.0,0.001867,0,161,118,59,0.001918,0.152447,,8,0,8,0,0.0,0.0,0.0,12,0,12,0.0,0.0,0.000598,0,87,138,106,0.0,0.008514,,0,0.0,0.0,0.0,9,0,9,8,0,8,0.000107,0.0,0.000342,0,1302,251,288,0.0,0.019883,,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5.4e-05,1798,11453,1833,1798,0.0,0.0
27,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp,,5,0,5,266553,0,266553,0,0.0,0.0,0.0,0.0,0.0,3.3e-05,1,10615,6,33,0.0,,1,0,1,109976,0,109976,0,0.0,0.0,0.0,0.0,0.0,8.3e-05,1,9149,32,3,0.0,0.000453,,1,0,1,17986,0,17986,0,0.0,0.0,0.0,0.0,0.0,8.6e-05,3,9061,3,52,0.0,0.000887,,1,0,1,0,0.0,0.0,0.0,14318,0,14318,0.0,0.0,8.6e-05,3,8621,123,100,0.0,0.000944,,0,0.0,0.0,0.0,92536,0,92536,1,0,1,0.0,0.0,8.5e-05,1,8369,240,218,0.0,0.00045,,0,0.0,0.0,0.0,31737,0,31737,1,0,1,0.0,0.0,9.9e-05,1,4726,110,141,0.0,0.00099
28,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,OMG Network,,791,0,791,77002,0,77002,0,0.0,0.0,0.0,0.000974,0.0,0.002316,0,28,7,20,0.006278,,298,0,298,50425,0,50425,0,0.0,0.0,0.0,0.002052,0.0,0.00327,0,7,39,385,0.002621,0.224883,,146,0,146,7137,0,7137,0,0.0,0.0,0.0,0.000942,0.0,0.002382,0,5,9,59,0.003779,0.26883,,125,0,125,0,0.0,0.0,0.0,4941,0,4941,0.000695,0.0,0.001775,0,224,127,106,0.003355,0.248673,,0,0.0,0.0,0.0,13369,0,13369,167,0,167,0.000915,0.0,0.002798,0,17,228,288,0.003283,0.101276,,0,0.0,0.0,0.0,1130,0,1130,55,0,55,0.00042,0.0,0.001064,0,53,251,189,0.002357,0.063336
29,0x06012c8cf97bead5deae237070f9587f8e7a266d,CryptoKitties Token Contract ,,542,0,542,62676,0,62676,0,0.0,0.0,0.0,0.000132,0.0,0.001442,0,201,22,38,0.002159,,215,0,215,26486,0,26486,0,0.0,0.0,0.0,0.001085,0.0,0.00366,0,125,43,246,0.000826,0.129911,,166,0,166,24519,0,24519,0,0.0,0.0,0.0,8e-06,0.0,0.003273,0,104,117,59,0.000657,0.188773,,91,0,91,0,0.0,0.0,0.0,11091,0,11091,5e-06,0.0,0.001704,0,45,133,106,0.000855,0.09607,,0,0.0,0.0,0.0,290,0,290,45,0,45,5e-06,0.0,0.001055,0,2514,254,288,0.00202,0.020989,,0,0.0,0.0,0.0,290,0,290,25,0,25,1e-06,0.0,0.000724,0,3790,250,189,0.003333,0.025565
30,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,Eos Clipboard Scam,,383,0,383,93534,0,93534,0,0.0,0.0,0.0,0.000195,0.0,0.001849,0,64,7,99,0.003035,,376,0,376,93525,0,93525,0,0.0,0.0,0.0,0.002089,0.0,0.005817,0,143,33,223,0.002128,0.280938,,5,0,5,5,0,5,0,0.0,0.0,0.0,3e-06,0.0,0.000106,0,56,118,59,0.0,0.00876,,1,0,1,0,0.0,0.0,0.0,2,0,2,0.0,0.0,6.6e-05,0,10454,127,106,0.0,0.000944,,0,0.0,0.0,0.0,2,0,2,1,0,1,0.0,0.0,8.5e-05,0,6361,251,288,0.0,0.000472,,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5.4e-05,4121,13776,4156,4121,0.0,0.0
31,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,IDEX DEX  ,,1314,0,1314,5705,0,5705,0,0.0,0.0,0.0,4.6e-05,0.0,0.004648,0,52,4,40,0.000149,,420,0,420,2080,0,2080,0,0.0,0.0,0.0,0.000435,0.0,0.005465,0,29,29,557,0.000278,0.362397,,551,0,551,2058,0,2058,0,0.0,0.0,0.0,8.5e-05,0.0,0.017298,0,16,118,59,4.6e-05,0.814401,,306,0,306,0,0.0,0.0,0.0,1507,0,1507,2e-05,0.0,0.009664,0,24,124,106,2.1e-05,0.467685,,0,0.0,0.0,0.0,56,0,56,34,0,34,8e-06,0.0,0.000994,0,2657,254,288,0.0,0.015882,,0,0.0,0.0,0.0,4,0,4,3,0,3,0.0,0.0,0.000156,0,7015,188,189,0.0,0.003068
32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WrappedEther Clipboard scam,,2222,0,2222,8226,0,8226,0,0.0,0.0,0.0,9.1e-05,0.0,0.008379,0,4,4,78,0.000137,,126,0,126,555,0,555,0,0.0,0.0,0.0,0.000101,0.0,0.00171,0,127,29,108,0.000254,0.083984,,314,0,314,1352,0,1352,0,0.0,0.0,0.0,8.4e-05,0.0,0.007054,0,22,53,59,0.000214,0.448305,,371,0,371,0,0.0,0.0,0.0,1699,0,1699,3.1e-05,0.0,0.010181,0,20,133,106,0.000117,0.450064,,0,0.0,0.0,0.0,1944,0,1944,615,0,615,0.00016,0.0,0.01681,0,3,254,288,2.4e-05,0.304623,,0,0.0,0.0,0.0,2676,0,2676,796,0,796,9.8e-05,0.0,0.028907,0,72,250,189,2.7e-05,0.796547
33,0x514910771af9ca656af840dff83e8264ecf986ca,Token Contract chainLink,,1019,0,1019,66053,0,66053,0,0.0,0.0,0.0,0.000681,0.0,0.003125,0,26,24,131,0.004088,,104,0,104,5921,0,5921,0,0.0,0.0,0.0,0.000606,0.0,0.001036,0,251,31,326,0.007655,0.113609,,109,0,109,3796,0,3796,0,0.0,0.0,0.0,0.000225,0.0,0.002428,0,51,9,59,0.002973,0.22221,,226,0,226,0,0.0,0.0,0.0,10948,0,10948,0.000638,0.0,0.005418,0,60,134,106,0.00177,0.376204,,0,0.0,0.0,0.0,40583,0,40583,399,0,399,0.001032,0.0,0.008856,0,22,228,288,0.001385,0.222793,,0,0.0,0.0,0.0,4805,0,4805,181,0,181,0.000448,0.0,0.005269,0,48,251,189,0.000491,0.190982
34,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,Token Contract Maker ,,546,0,546,2590,0,2590,0,0.0,0.0,0.0,0.003159,0.0,0.002353,0,3,4,92,0.0008,,44,0,44,448,0,448,0,0.0,0.0,0.0,5.9e-05,0.0,0.000503,0,208,36,108,0.0037,0.030313,,310,0,310,1845,0,1845,0,0.0,0.0,0.0,0.000224,0.0,0.006705,0,25,53,59,0.000303,0.35342,,184,0,184,0,0.0,0.0,0.0,286,0,286,9.4e-05,0.0,0.005023,0,41,127,106,0.000238,0.234685,,0,0.0,0.0,0.0,11,0,11,8,0,8,0.014205,0.0,0.000172,0,226,254,288,0.0,0.003634,,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5.4e-05,3803,13458,3838,3803,0.0,0.0
35,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT Clipboard scam,,3733,0,3733,1571248,0,1571248,0,0.0,0.0,0.0,0.00068,0.0,0.020144,0,2,24,66,0.00093,,3,0,3,117,0,117,0,0.0,0.0,0.0,9e-05,0.0,5.9e-05,0,1041,33,727,0.5,0.002982,,7,0,7,195,0,195,0,0.0,0.0,0.0,3.8e-05,0.0,0.000367,0,91,9,59,0.02381,0.01334,,735,0,735,0,0.0,0.0,0.0,494933,0,494933,0.000797,0.0,0.02672,0,49,134,106,0.000475,1.0,,0,0.0,0.0,0.0,1039154,0,1039154,1999,0,1999,0.001601,0.0,0.064329,0,6,0,288,0.000211,1.0,,0,0.0,0.0,0.0,36849,0,36849,989,0,989,0.000547,0.0,0.039536,0,68,251,189,4.9e-05,1.0
36,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,Mining-Up,,213,2,215,220,16,236,1,1.0,1.0,103.954762,0.0,4e-06,0.0014,0,103,4,143,0.000109,,68,0,68,71,0,71,0,0.0,0.0,0.0,0.0,0.0,0.002713,0,479,88,717,0.0,0.033079,,67,0,67,69,0,69,0,0.0,0.0,0.0,0.0,0.0,0.002933,0,360,61,59,0.0,0.064715,,68,1,69,1,1.0,1.0,68.666667,69,10,79,0.0,1.1e-05,0.002996,0,80,124,106,0.0,0.070377,,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,4.6e-05,1741,13626,1791,1741,0.0,0.0,,1,1.0,1.0,12.0,11,6,17,10,1,11,0.0,8e-06,0.00059,0,3770,250,189,0.0,0.010401
37,0xcac76b259ad18a269be1987c0e8a07a2b855f7b6,User wallet,,13,4,17,237,23,260,1,1.0,1.0,4.0,0.016955,9.9e-05,4e-05,0,3446,27,29,0.319853,,3,0,3,56,0,56,0,0.0,0.0,0.0,0.016353,0.0,8.3e-05,0,3781,28,732,0.5,0.001554,,3,1,4,53,15,68,1,1.0,1.0,6.0,0.014807,0.0,8.6e-05,0,2757,23,59,0.166667,0.002999,,3,2,5,1,1.0,1.0,5.0,48,6,54,0.01469,0.000204,4.7e-05,0,5466,0,106,0.05,0.002833,,1,1.0,1.0,1527.0,47,2,49,2,1,3,0.014899,0.000202,4.6e-05,0,1675,251,288,0.333333,0.000973,,0,0.0,0.0,0.0,33,0,33,2,0,2,0.015083,0.0,5.4e-05,0,4648,113,189,0.0,0.00198
38,0xd972987fae635ef3f8b04dcf9dd420d9f7fe4cbe,User wallet,,10,0,10,126,0,126,0,0.0,0.0,0.0,0.016945,0.0,2.8e-05,0,2104,27,29,0.277778,,2,0,2,11,0,11,0,0.0,0.0,0.0,0.01635,0.0,4.5e-05,0,2455,28,732,0.5,0.001041,,2,0,2,36,0,36,0,0.0,0.0,0.0,0.014804,0.0,4.7e-05,0,2593,25,59,0.0,0.00186,,2,0,2,0,0.0,0.0,0.0,34,0,34,0.014671,0.0,4.7e-05,0,5260,0,106,0.0,0.001889,,0,0.0,0.0,0.0,39,0,39,2,0,2,0.014899,0.0,4.6e-05,0,2224,251,288,0.5,0.000973,,0,0.0,0.0,0.0,6,0,6,2,0,2,0.015083,0.0,5.4e-05,0,3412,125,189,0.0,0.00198
39,0x00d4405692b9f4f2eb9e99aee053af257c521343,User wallet,,16,0,16,607,0,607,0,0.0,0.0,0.0,0.016739,0.0,2.8e-05,0,1934,27,29,0.083333,,1,0,1,4,0,4,0,0.0,0.0,0.0,0.014327,0.0,4.5e-05,0,5510,28,732,0.0,0.000529,,3,0,3,94,0,94,0,0.0,0.0,0.0,0.014819,0.0,4.8e-05,0,3825,23,59,0.0,0.002747,,3,0,3,0,0.0,0.0,0.0,152,0,152,0.014674,0.0,4.9e-05,0,5553,138,106,0.0,0.002833,,0,0.0,0.0,0.0,330,0,330,5,0,5,0.015176,0.0,4.9e-05,0,2543,245,288,0.05,0.002346,,0,0.0,0.0,0.0,27,0,27,4,0,4,0.015217,0.0,5.4e-05,0,4582,113,189,0.0,0.00396
40,0x007b689f699bfccee48049db9d3d139872db8692,User wallet,,13,0,13,560,0,560,0,0.0,0.0,0.0,0.016722,0.0,2.8e-05,0,1936,27,29,0.128205,,1,0,1,4,0,4,0,0.0,0.0,0.0,0.014327,0.0,4.5e-05,0,5447,28,732,0.0,0.000529,,2,0,2,92,0,92,0,0.0,0.0,0.0,0.014804,0.0,4.7e-05,0,3828,23,59,0.0,0.00186,,2,0,2,0,0.0,0.0,0.0,142,0,142,0.014671,0.0,4.7e-05,0,5745,138,106,0.0,0.001889,,0,0.0,0.0,0.0,286,0,286,4,0,4,0.015156,0.0,4.6e-05,0,2544,245,288,0.083333,0.001896,,0,0.0,0.0,0.0,36,0,36,4,0,4,0.015217,0.0,5.4e-05,0,4591,113,189,0.0,0.00396
